층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
3F,CONNECTOR,3F 연결복도,3F_CONNECTOR,SPACE_3F_CONNECTOR,촬영사진_넣는곳/3층/복도/4-6 교실에서 4-7 교실까지 연결복도/,사진보관/원본/3층/복도/4-6 교실에서 4-7 교실까지 연결복도/
4F,CONNECTOR,4F 연결복도,4F_CONNECTOR,SPACE_4F_CONNECTOR,촬영사진_넣는곳/4층/복도/4-2 교실에서 4-4 교실까지 연결복도/,사진보관/원본/4층/복도/4-2 교실에서 4-4 교실까지 연결복도/
EXTERIOR,EXTERIOR,정문,EXT_MAIN_GATE,SPACE_EXT_MAIN_GATE,촬영사진_넣는곳/외부/외부공간/정문/,사진보관/원본/외부/외부공간/정문/
EXTERIOR,EXTERIOR,후문,EXT_REAR_GATE,SPACE_EXT_REAR_GATE,촬영사진_넣는곳/외부/외부공간/후문/,사진보관/원본/외부/외부공간/후문/
EXTERIOR,EXTERIOR,운동장,EXT_PLAYGROUND,SPACE_EXT_PLAYGROUND,촬영사진_넣는곳/외부/외부공간/운동장/,사진보관/원본/외부/외부공간/운동장/
EXTERIOR,EXTERIOR,놀이터 및 모래터,EXT_PLAY_AREA,SPACE_EXT_PLAY_AREA,촬영사진_넣는곳/외부/외부공간/놀이터 및 모래터/,사진보관/원본/외부/외부공간/놀이터 및 모래터/
EXTERIOR,EXTERIOR,학교텃밭,EXT_SCHOOL_GARDEN,SPACE_EXT_SCHOOL_GARDEN,촬영사진_넣는곳/외부/외부공간/학교텃밭/,사진보관/원본/외부/외부공간/학교텃밭/
EXTERIOR,EXTERIOR,명상숲,EXT_MEDITATION_GROVE,SPACE_EXT_MEDITATION_GROVE,촬영사진_넣는곳/외부/외부공간/명상숲/,사진보관/원본/외부/외부공간/명상숲/
EXTERIOR,EXTERIOR,구령대,EXT_ROSTRUM,SPACE_EXT_ROSTRUM,촬영사진_넣는곳/외부/외부공간/구령대/,사진보관/원본/외부/외부공간/구령대/
EXTERIOR,EXTERIOR,본관 출입구,EXT_MAIN_ENTRANCE,SPACE_EXT_MAIN_ENTRANCE,촬영사진_넣는곳/외부/출입구_현관/본관 출입구/,사진보관/원본/외부/출입구_현관/본관 출입구/
EXTERIOR,EXTERIOR,별관 출입구,EXT_ANNEX_ENTRANCE,SPACE_EXT_ANNEX_ENTRANCE,촬영사진_넣는곳/외부/출입구_현관/별관 출입구/,사진보관/원본/외부/출입구_현관/별관 출입구/
EXTERIOR,EXTERIOR,배움터지킴이실,EXT_GUARD_POST,SPACE_EXT_GUARD_POST,촬영사진_넣는곳/외부/특별실_지원실/배움터지킴이실/,사진보관/원본/외부/특별실_지원실/배움터지킴이실/
2F,MAIN,3학년 연수실,2F_GRADE3_RESEARCH,SPACE_2F_GRADE3_RESEARCH,촬영사진_넣는곳/2층/특별실_지원실/3학년 연수실/,사진보관/원본/2층/특별실_지원실/3학년 연수실/
1F,MAIN,본관 현관,1F_MAIN_LOBBY,SPACE_1F_MAIN_LOBBY,촬영사진_넣는곳/1층/출입구_현관/본관 출입구/,사진보관/원본/1층/출입구_현관/본관 출입구/
1F,ANNEX,별관 계단 E,1F_ANNEX_STAIR_E,SPACE_1F_ANNEX_STAIR_E,촬영사진_넣는곳/1층/계단/개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인/,사진보관/원본/1층/계단/개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인/
2F,ANNEX,별관 계단 E,2F_ANNEX_STAIR_E,SPACE_2F_ANNEX_STAIR_E,촬영사진_넣는곳/2층/계단/3-7 교실과 2-6 교실 사이 계단/,사진보관/원본/2층/계단/3-7 교실과 2-6 교실 사이 계단/
3F,ANNEX,별관 계단 E,3F_ANNEX_STAIR_E,SPACE_3F_ANNEX_STAIR_E,촬영사진_넣는곳/3층/계단/2-5 교실과 2-4 교실 사이 계단/,사진보관/원본/3층/계단/2-5 교실과 2-4 교실 사이 계단/
4F,ANNEX,별관 계단 E,4F_ANNEX_STAIR_E,SPACE_4F_ANNEX_STAIR_E,촬영사진_넣는곳/4층/계단/2-2 교실과 2-1 교실 사이 계단/,사진보관/원본/4층/계단/2-2 교실과 2-1 교실 사이 계단/
