층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
2F,ANNEX,개별학습실1,2F_INDIVIDUAL_1,SPACE_2F_INDIVIDUAL_1,촬영사진_넣는곳/2층/특별실_지원실/별관__개별학습실1/,photos/raw/2F/special_rooms/individual_1/
2F,ANNEX,개별학습실2,2F_INDIVIDUAL_2,SPACE_2F_INDIVIDUAL_2,촬영사진_넣는곳/2층/특별실_지원실/별관__개별학습실2/,photos/raw/2F/special_rooms/individual_2/
3F,ANNEX,개별학습실3,3F_INDIVIDUAL_3,SPACE_3F_INDIVIDUAL_3,촬영사진_넣는곳/3층/특별실_지원실/별관__개별학습실3/,photos/raw/3F/special_rooms/individual_3/
1F,ANNEX,개별학습실4,1F_INDIVIDUAL_4,SPACE_1F_INDIVIDUAL_4,촬영사진_넣는곳/1층/특별실_지원실/별관__개별학습실4/,photos/raw/1F/special_rooms/individual_4/
1F,ANNEX,개별학습실5,1F_INDIVIDUAL_5,SPACE_1F_INDIVIDUAL_5,촬영사진_넣는곳/1층/특별실_지원실/별관__개별학습실5/,photos/raw/1F/special_rooms/individual_5/
1F,MAIN,1F 본관 복도 01,1F_MAIN_CORRIDOR_01,SPACE_1F_MAIN_CORRIDOR_01,촬영사진_넣는곳/1층/복도/본관__3-4 교실·본관 현관_구간/,photos/raw/1F/corridors/main_01/
1F,MAIN,1F 본관 복도 02,1F_MAIN_CORRIDOR_02,SPACE_1F_MAIN_CORRIDOR_02,촬영사진_넣는곳/1층/복도/본관__행정실·급식실_구간/,photos/raw/1F/corridors/main_02/
1F,ANNEX,1F 별관 복도,1F_ANNEX_CORRIDOR_01,SPACE_1F_ANNEX_CORRIDOR_01,촬영사진_넣는곳/1층/복도/별관__1-6 교실·1-3 교실_구간/,photos/raw/1F/corridors/annex_01/
1F,MAIN,1F 본관 계단 A,1F_MAIN_STAIR_A,SPACE_1F_MAIN_STAIR_A,촬영사진_넣는곳/1층/계단/본관_서쪽_A__3-4 교실_앞_계단_위치확인필요/,photos/raw/1F/stairs/main_a/
1F,MAIN,1F 본관 계단 B,1F_MAIN_STAIR_B,SPACE_1F_MAIN_STAIR_B,촬영사진_넣는곳/1층/계단/본관_중앙_B__행정실_앞_계단_위치확인필요/,photos/raw/1F/stairs/main_b/
1F,ANNEX,1F 별관 계단 D,1F_ANNEX_STAIR_D,SPACE_1F_ANNEX_STAIR_D,촬영사진_넣는곳/1층/계단/별관_북쪽_D__1-6 교실_앞_계단_위치확인필요/,photos/raw/1F/stairs/annex_d/
1F,MAIN,1F 본관 화장실 A,1F_MAIN_TOILET_A,SPACE_1F_MAIN_TOILET_A,촬영사진_넣는곳/1층/기타_촬영전허가필요/본관__1F 본관 화장실 A/,photos/raw/1F/toilets/main_a/
1F,MAIN,1F 본관 화장실 B,1F_MAIN_TOILET_B,SPACE_1F_MAIN_TOILET_B,촬영사진_넣는곳/1층/기타_촬영전허가필요/본관__1F 본관 화장실 B/,photos/raw/1F/toilets/main_b/
1F,ANNEX,1F 별관 화장실,1F_ANNEX_TOILET_A,SPACE_1F_ANNEX_TOILET_A,촬영사진_넣는곳/1층/기타_촬영전허가필요/별관__1F 별관 화장실/,photos/raw/1F/toilets/annex_a/
2F,MAIN,2F 본관 복도 01,2F_MAIN_CORRIDOR_01,SPACE_2F_MAIN_CORRIDOR_01,촬영사진_넣는곳/2층/복도/본관__돌봄교실(꿈희망)·교무실_구간/,photos/raw/2F/corridors/main_01/
2F,MAIN,2F 본관 복도 02,2F_MAIN_CORRIDOR_02,SPACE_2F_MAIN_CORRIDOR_02,촬영사진_넣는곳/2층/복도/본관__교무실·과학실_구간/,photos/raw/2F/corridors/main_02/
2F,ANNEX,2F 별관 복도,2F_ANNEX_CORRIDOR_01,SPACE_2F_ANNEX_CORRIDOR_01,촬영사진_넣는곳/2층/복도/별관__개별학습실2·1-1 교실_구간/,photos/raw/2F/corridors/annex_01/
